#,TYPE,Bill No.,PONUM,DOCNUM,Document Date,Doc Due Date,Bill Type,itemcode/gl,Item Name,UOM,ItemGroup,HSN/sac,Bill Quantity,BASICVAL,LINETOTAL,Bill Value,TAX_RATE,TAXCODE,CGST,SGST,IGST,TCS,FREIGHT,Customer Code,Customer Name,Customer  Ref No.,Sale Employee Name,Bill To GSTIN,Ship To GSTIN,SHIP_TO_STATENAME,SHIP_TO_CITY,BILL_TO_STATENAME,BILL_TO_CITY,ADDRESS,SHIPTOADDRESS,BRANCH,WAREHOUSE,ORDER_NO,ORDER_DATE,ORDER_REF_NO,DELIVERY_DATE,STATUS,CREDIT_NOTE_CATEGORY,REMARKS,ORIGINAL_INVOICE_REFNO,WITHOUTQTY_POSTING,Tracking No
1,AR Invoice,Pri1,,1,22/01/2006,21/02/2006,I,A00005,HP Color Laser Jet 4,,Rainbow Printers,84.71.6021,5,27000,135000,701213.76,0,BED+VAT,0,0,0,0,0,C20000,Norm Thompson,,Sales Manager,,,,,,,,,,General Warehouse,1,10/01/06,,20/01/06,Closed,,Based On Sales Quotations 1. Based On Sales Orders 1. Based On Deliveries 1.,,,
2,AR Invoice,Pri1,,1,22/01/2006,21/02/2006,I,A00004,HP Color Laser Jet 5,,Rainbow Printers,84.71.6021,5,33750,168750,701213.76,0,BED+VAT,0,0,0,0,0,C20000,Norm Thompson,,Sales Manager,,,,,,,,,,General Warehouse,1,10/01/06,,20/01/06,Closed,,Based On Sales Quotations 1. Based On Sales Orders 1. Based On Deliveries 1.,,,
3,AR Invoice,Pri1,,1,22/01/2006,21/02/2006,I,A00003,IBM Infoprint 1226,,J.B. Printers,84.71.6021,5,20250,101250,701213.76,0,BED+VAT,0,0,0,0,0,C20000,Norm Thompson,,Sales Manager,,,,,,,,,,General Warehouse,1,10/01/06,,20/01/06,Closed,,Based On Sales Quotations 1. Based On Sales Orders 1. Based On Deliveries 1.,,,
4,AR Invoice,Pri1,,1,22/01/2006,21/02/2006,I,A00002,IBM Infoprint 1222,,J.B. Printers,84.71.6021,5,13500,67500,701213.76,0,BED+VAT,0,0,0,0,0,C20000,Norm Thompson,,Sales Manager,,,,,,,,,,General Warehouse,1,10/01/06,,20/01/06,Closed,,Based On Sales Quotations 1. Based On Sales Orders 1. Based On Deliveries 1.,,,
5,AR Invoice,Pri1,,1,22/01/2006,21/02/2006,I,A00001,IBM Infoprint 1312,,J.B. Printers,84.71.6021,5,27000,135000,701213.76,0,BED+VAT,0,0,0,0,0,C20000,Norm Thompson,,Sales Manager,,,,,,,,,,General Warehouse,1,10/01/06,,20/01/06,Closed,,Based On Sales Quotations 1. Based On Sales Orders 1. Based On Deliveries 1.,,,
6,AR Invoice,Pri2,,2,27/01/2006,28/03/2006,I,A00006,HP 600 Series Inc,,Rainbow Printers,,5,22500,112500,129656.25,0,VAT@4,0,0,0,0,0,C30000,Microchips,,Lata Darshana,,,,,,,,,,General Warehouse,2,15/01/06,,25/01/06,Closed,,Based On Sales Quotations 2. Based On Sales Orders 2. Based On Deliveries 2.,,,
7,AR Invoice,Pri2,,2,27/01/2006,28/03/2006,I,B10000,Printer Label,,Items,,200,56.25,11250,129656.25,0,VAT@12.5,0,0,0,0,0,C30000,Microchips,,Lata Darshana,,,,,,,,,,General Warehouse,2,15/01/06,,25/01/06,Closed,,Based On Sales Quotations 2. Based On Sales Orders 2. Based On Deliveries 2.,,,
8,AR Invoice,Pri3,,3,11/02/2006,13/03/2006,I,S10000,Server Point 10000,,Servers,,5,103625,518125,538850,0,CST@4,0,0,0,0,0,C40000,Earthshaker Corporation,,Purushottam Nitya,,,Delhi,New Delhi,West Bengal,Kolkata,",208 Hollywood Ave,700 005,,Kolkata,WB,IN",,,General Warehouse,3,20/01/06,,30/01/06,Closed,,Based On Sales Quotations 3. Based On Sales Orders 3. Based On Deliveries 3.,,,
9,AR Invoice,Pri5,,5,12/02/2006,13/04/2006,I,A00001,IBM Infoprint 1312,,J.B. Printers,84.71.6021,5,22500,112500,903311.88,0,BED+VAT,0,0,0,0,0,C42000,Mashina Corporation,,Pitambar Ratna,,,,,,,,,,General Warehouse,5,30/01/06,,10/02/06,Closed,,Based On Sales Quotations 5. Based On Sales Orders 5. Based On Deliveries 5.,,,
10,AR Invoice,Pri5,,5,12/02/2006,13/04/2006,I,A00006,HP 600 Series Inc,,Rainbow Printers,,5,22500,112500,903311.88,0,VAT@4,0,0,0,0,0,C42000,Mashina Corporation,,Pitambar Ratna,,,,,,,,,,General Warehouse,5,30/01/06,,10/02/06,Closed,,Based On Sales Quotations 5. Based On Sales Orders 5. Based On Deliveries 5.,,,
11,AR Invoice,Pri5,,5,12/02/2006,13/04/2006,I,A00002,IBM Infoprint 1222,,J.B. Printers,84.71.6021,5,11250,56250,903311.88,0,BED+VAT,0,0,0,0,0,C42000,Mashina Corporation,,Pitambar Ratna,,,,,,,,,,General Warehouse,5,30/01/06,,10/02/06,Closed,,Based On Sales Quotations 5. Based On Sales Orders 5. Based On Deliveries 5.,,,
12,AR Invoice,Pri5,,5,12/02/2006,13/04/2006,I,A00003,IBM Infoprint 1226,,J.B. Printers,84.71.6021,5,16875,84375,903311.88,0,BED+VAT,0,0,0,0,0,C42000,Mashina Corporation,,Pitambar Ratna,,,,,,,,,,General Warehouse,5,30/01/06,,10/02/06,Closed,,Based On Sales Quotations 5. Based On Sales Orders 5. Based On Deliveries 5.,,,
